id animal X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12
16 melanogaster 8.3040642494844 5.13748335654041 7.3311787845029 7.62978739030814 3.50916350072698 3.32059233590678 -13.8155105579643 11.9018316016845 -13.8155105579643 10.9762177824954 11.8639467695785 -13.8155105579643
17 melanogaster 8.80036507352202 3.18633931922648 7.67787598344952 7.42246069387261 4.39620290659563 3.5705328646755 1.62931352367335 11.6487957077233 3.79311775432639 11.1792146692103 12.040148592829 -13.8155105579643
18 melanogaster 10.7920610034766 2.48823721323007 7.54693395141842 8.38448238185416 3.95365163793718 4.10031891375703 -13.8155105579643 10.6752271346313 4.70160153247665 11.6489289801951 11.9154169820782 -13.8155105579643
19 melanogaster 8.52055484440138 2.68821551582108 8.51319651415124 6.57545760091888 6.46223112137311 6.6101206990924 5.29346828903832 10.8075659668644 3.14547627970669 11.6424885193049 12.0789209767429 -13.8155105579643
20 melanogaster 8.03507065304057 3.00839310648295 7.28352104934858 6.43675613651448 5.01132677689237 4.12549390942863 3.62612065970025 11.8922775535508 2.49155203204048 10.8354381246805 12.0124924731075 -13.8155105579643
21 melanogaster 7.16375294414462 3.61963964532753 9.31753400050422 5.96038378972635 3.35453518888413 5.04107878441372 4.48082515210342 11.5020457929724 -13.8155105579643 11.0162496596917 12.1117252629677 -13.8155105579643
22 melanogaster 6.27121385648876 3.91741317106679 3.55121404087582 4.32035553163767 4.14055272964289 4.74945218303986 4.54838701085122 11.8655903683473 5.09399646068605 10.2630999999627 12.1577065717063 -13.8155105579643
23 melanogaster 10.4185974544588 -13.8155105579643 9.57092692957914 7.96780486419714 -13.8155105579643 -13.8155105579643 3.07983323378466 10.160420351501 2.37130047306108 11.6824840883131 12.0114805493337 -13.8155105579643
24 melanogaster 6.18989619794955 5.32559043734637 7.30914382725978 3.54033740257757 4.27720707143984 5.54419149918925 6.13643434120595 11.7940731185995 -13.8155105579643 10.413180215857 12.1540728519132 2.36961731522863
25 melanogaster 9.27888743205856 3.23511902558401 8.62246849155485 6.74006717329268 3.69819886083373 4.63707115845815 -13.8155105579643 10.7008162123474 2.31859056891092 11.7327979804637 12.088993158871 -13.8155105579643
26 melanogaster 6.16058738560238 3.3255099843848 7.60539095718229 5.07708191743277 4.14215701536354 3.9770864620398 1.97710493940898 11.9708496741397 -13.8155105579643 10.367739408455 12.0915431355328 -13.8155105579643
27 melanogaster 9.79842613589793 3.49036132458238 7.24979137125549 8.40606612632663 3.11611167718558 4.39332595151448 3.83561740270021 11.0180255511045 3.06790416751656 11.5177817625396 12.0553181821619 1.58320477730034
28 melanogaster 7.11700534686639 -13.8155105579643 8.28044356775537 6.59092867815462 3.61826182597315 4.93050090181057 -13.8155105579643 11.5042559220087 -13.8155105579643 11.140057759987 12.1073368887438 -13.8155105579643
29 melanogaster 5.99323631793887 3.00757664851214 9.18490468296908 5.69668616153005 5.41549821311182 4.98819008788936 3.44587833266996 11.6147354439085 -13.8155105579643 10.8262737771694 12.1760756279357 -13.8155105579643
30 melanogaster 8.85323435032361 3.37759588840201 8.47182254933731 7.73859617438174 3.98059979145654 4.94206217995118 1.62745277918306 11.5770166027976 1.80774742178183 11.0406990380086 12.1197578801272 -13.8155105579643
31 melanogaster 5.79411906041521 3.06644293839742 8.16618680700408 4.01434540171435 4.05069847895513 4.46984669687664 -13.8155105579643 11.7192477657098 -13.8155105579643 10.8811539678002 12.1612650478851 -13.8155105579643
32 melanogaster 8.34105767081706 2.30579378164266 6.88137073418756 6.64090252013868 3.22991537834606 5.6064111708592 3.38149207799503 11.7685594685759 -13.8155105579643 10.7160476852658 12.124424366099 -13.8155105579643
33 mauritiana 8.70102554428071 10.3264580299095 9.31610771395416 6.70147818765128 2.30649996082148 5.28567058249538 7.05538020715813 11.1054534333038 3.9523259948604 10.6924480025559 12.2057823113676 -13.8155105579643
34 mauritiana 6.46950053243808 10.789141032764 8.6714082616935 6.17354257106625 4.022189876107 4.63091170691715 6.11192667679777 10.825529040865 4.12822098442185 11.2375196225883 12.0781293323128 2.54614587159309
35 mauritiana 6.72889933111521 11.0115101308383 10.6689016265501 5.82145367395332 1.92333897909562 3.09718166526534 5.73454546694674 10.7026533194784 4.16886203972226 10.4051233716091 12.100683315666 1.62238438440849
36 mauritiana 9.81452093519142 10.1103234142015 9.67781888919187 6.65169144439759 -13.8155105579643 -13.8155105579643 4.30299511395057 10.5779569907309 5.19574846728338 11.3905512078297 12.0807785083093 -13.8155105579643
37 mauritiana 7.81628518226569 10.6552967156114 9.9761631908815 6.7773484539079 -13.8155105579643 1.61176422610691 5.91287557931769 10.6631424218562 4.72442053091893 11.1737909534085 12.096294183461 -13.8155105579643
38 mauritiana 6.6249759915128 10.5546724811593 8.16194183602173 4.67315988673276 -13.8155105579643 3.19005726149449 6.45585880984968 10.4073339991796 2.42391438973302 11.591417359001 12.1328056224663 3.59929718958427
39 mauritiana 8.37761623052719 9.90563641521917 8.67647856665991 6.05084430690752 -13.8155105579643 -13.8155105579643 5.16955114335819 10.1636469411405 2.78005006608339 11.7839740756156 12.0474101971911 -13.8155105579643
40 mauritiana 7.40847385636312 9.89834946473669 9.6016294137145 5.49559715990895 1.80329000329454 3.40978621217128 5.76051721431763 10.194624888128 4.76829791990664 11.5754857922721 12.1865333520527 -13.8155105579643
41 mauritiana 9.09835184535164 9.4110285995488 9.48402607702396 6.90894901909994 -13.8155105579643 4.20488767784884 6.27448796731922 10.1332536265952 4.58513861957538 11.7283493913471 12.0421870832371 3.48502317938267
42 mauritiana 7.05096701305866 9.9778439239795 10.450787966086 6.46735896596065 -13.8155105579643 2.95091517039775 6.32240084722836 10.5140291262319 4.09479051179134 11.3912124509609 12.0939664251186 2.46996567639135
43 mauritiana 9.64700915512398 10.1071669572322 7.97828961409199 7.12918086293295 -13.8155105579643 4.59087695464712 7.36545484835978 11.1945350339346 3.96645085119582 10.9699396613836 12.1613483533932 -13.8155105579643
44 mauritiana 8.23367405689647 11.6488153217181 9.13037377057369 5.26935380446857 1.62323234855907 -13.8155105579643 6.44422168761021 10.5225196924509 4.04491791842946 10.9641575068222 11.8269965000489 -13.8155105579643
45 mauritiana 10.2907824282054 11.1881950028149 6.7931511463676 5.27233940209741 -13.8155105579643 2.72378823182106 6.82237333153776 10.8761801296858 1.61836242213512 10.8848304187681 11.9633494585639 2.41177965784179
46 mauritiana 7.95244751170461 9.59957037429601 9.79940435059814 5.39032394412072 -13.8155105579643 3.93052829881259 6.86610331139946 10.8307874481516 9.45851333030955 11.2283121714326 12.1400838405536 3.83205699685037
47 mauritiana 7.50680222458754 9.94300877094917 9.71469548286892 6.57723408591016 3.65823902430411 5.60531113970677 8.46167156826011 10.807823031446 -13.8155105579643 11.213829273543 12.2114293869118 2.32939283192663
48 mauritiana 9.58260555969588 9.40574717682748 8.6063153384084 5.78865241947793 4.69792514988551 5.33610957811603 7.20537414743986 10.4646476526738 8.11672781828445 11.5816000444899 12.1129936178121 -13.8155105579643
49 mauritiana 9.0110748928605 9.25181061961169 9.05448132822081 6.76386506113287 4.08338284159712 4.58239940383532 7.57125620726384 10.4309738445825 4.89262561492138 11.6917750664133 12.0993488974329 2.39342799300228
50 mauritiana 9.72496512071436 6.06253018797204 9.90927531407898 6.7470664055867 2.70759012395605 3.77990067242517 5.062305189885 10.4561305377574 4.38423063427917 11.5275310691301 12.126866074954 1.9330075096656
51 mauritiana 7.62688222470777 9.18494688102165 9.14962887754989 6.1515453673073 -13.8155105579643 3.4614651233915 6.98930829006081 11.095266905543 -13.8155105579643 11.1754624735904 12.2059903554753 2.94684219308813
52 mauritiana 7.77504098436594 8.82137348412217 9.55253862742645 6.52692057100863 1.906120234276 -13.8155105579643 5.24627447971725 10.705618090973 1.59370248698241 11.4238362945066 12.1519275244238 3.37397062484173
53 mauritiana 9.90858960818784 9.74423714049396 9.46811438740025 7.13629968507942 -13.8155105579643 1.82017003941725 7.0055435670271 10.8983386283271 5.23433093479944 11.3636856345177 12.0944090489289 2.33428687914865
54 mauritiana 9.13342352075329 10.4524383305388 9.81974720078028 5.99889686012762 -13.8155105579643 2.84832987536704 7.49277961003775 10.8205175176766 2.76686083131999 10.991629516727 12.1375389379854 3.32887377400712
55 mauritiana 7.1106991996115 9.83179442535533 10.0652566151954 6.17244692528716 4.9852603771097 5.28813111991668 7.10346447544682 9.97605783944231 4.93183840347244 11.6109604343028 12.1905777438152 -13.8155105579643
56 mauritiana 8.757062629727 10.0422189830013 10.374119751219 6.20366850238787 3.03287132344688 4.2540059633326 5.62297899132432 10.2956791558574 8.01345174865786 11.3324501608854 12.094962260674 2.88152476920094
57 mauritiana 7.95589150151947 10.5306704567491 10.1533347705887 6.62303129882787 -13.8155105579643 3.07135441678951 4.49491444843895 10.777512260939 6.82670333892917 11.1355640399607 12.0484644790867 2.29164266388381
58 mauritiana 7.90978620224785 10.1721809661724 10.1657099996464 6.64474139790628 -13.8155105579643 4.51298491754773 5.73965626473067 11.0193597837823 7.18032723252778 10.8212118336102 12.177305171348 3.1447318795208
59 mauritiana 7.86312425098905 10.5880718413495 10.3629094876541 6.54966625170073 1.58268876604888 1.6003989059548 5.20187402540984 10.5766629289178 3.98773096127191 11.1120988378636 12.057756792277 2.54599934366144
60 mauritiana 6.70471230732007 8.35105738045886 11.1167030703912 7.11212587563204 -13.8155105579643 2.51467509161379 7.22239677007683 10.7138435224997 4.54091163382333 10.9910364515421 12.1339953753407 -13.8155105579643
61 mauritiana 9.64194846446792 8.78267008345013 9.76264650842793 7.25356438050254 2.46565288661032 4.12271607196465 6.48311997286046 10.6905956885165 2.97506387252829 11.2352153039241 12.1698942260922 2.2908202802452
62 mauritiana 8.68625033548179 11.1796719491245 7.67124006962272 5.97458529740518 1.62444867464937 3.1842407290211 7.94944251242326 10.9889434759582 4.21659566290518 10.9217740111626 12.007010250391 5.341278482715
